id,date,status,order_id,type_of_work,id_car
1,2020-03-01 00:00:00 +0000 +0000,true,1,Замена масла,1
2,2020-03-02 00:00:00 +0000 +0000,false,2,Ротация шин,2
3,2020-03-03 00:00:00 +0000 +0000,true,3,Проверка тормозов,3
4,2020-03-04 00:00:00 +0000 +0000,false,4,Проверка аккумулятора,4
5,2020-03-05 00:00:00 +0000 +0000,true,5,Настройка двигателя,5
6,2020-03-06 00:00:00 +0000 +0000,false,6,Проверка трансмиссии,6
7,2020-03-07 00:00:00 +0000 +0000,true,7,Замена масла,7
8,2020-03-08 00:00:00 +0000 +0000,false,8,Ротация шин,8
9,2020-03-09 00:00:00 +0000 +0000,true,9,Проверка тормозов,9
10,2020-03-10 00:00:00 +0000 +0000,false,10,Проверка аккумулятора,10
11,2020-03-11 00:00:00 +0000 +0000,true,11,Настройка двигателя,11
12,2020-03-12 00:00:00 +0000 +0000,false,12,Проверка трансмиссии,12
13,2020-03-13 00:00:00 +0000 +0000,true,13,Замена масла,13
14,2020-03-14 00:00:00 +0000 +0000,false,14,Ротация шин,14
15,2020-03-15 00:00:00 +0000 +0000,true,15,Проверка тормозов,15
16,2020-03-16 00:00:00 +0000 +0000,false,16,Проверка аккумулятора,16
17,2020-03-17 00:00:00 +0000 +0000,true,17,Настройка двигателя,17
18,2020-03-18 00:00:00 +0000 +0000,false,18,Проверка трансмиссии,18
19,2020-03-19 00:00:00 +0000 +0000,true,19,Замена масла,19
20,2020-03-20 00:00:00 +0000 +0000,false,20,Ротация шин,20
21,2020-03-21 00:00:00 +0000 +0000,true,21,Проверка тормозов,21
22,2020-03-22 00:00:00 +0000 +0000,false,22,Проверка аккумулятора,22
23,2020-03-23 00:00:00 +0000 +0000,true,23,Настройка двигателя,23
24,2020-03-24 00:00:00 +0000 +0000,false,24,Проверка трансмиссии,24
25,2020-03-25 00:00:00 +0000 +0000,true,25,Замена масла,25
26,2020-03-26 00:00:00 +0000 +0000,false,26,Ротация шин,26
27,2020-03-27 00:00:00 +0000 +0000,true,27,Проверка тормозов,27
28,2020-03-28 00:00:00 +0000 +0000,false,28,Проверка аккумулятора,28
29,2020-03-29 00:00:00 +0000 +0000,true,29,Настройка двигателя,29
30,2020-03-30 00:00:00 +0000 +0000,false,30,Проверка трансмиссии,30
